"BIBTEXKEY","TITLE","final_decision","exclusion_reason","manual_decision"
"wilsonCosteffectivenessNovelSIAscopic2013","The cost-effectiveness of a novel {SIAscopic} diagnostic aid for the management of pigmented skin lesions in primary care: a decision-analytic model","include","included_by_automation","unreviewed"
"wilsonBayesianDesignAnalysis2021","Bayesian design and analysis of external pilot trials for complex interventions","include","included_by_automation","unreviewed"
"williamsValueSampleInformation2018","Value of sample information in dynamic, structurally uncertain resource systems","include","included_by_automation","unreviewed"
"williamsTechnicalChallengesApplication2016","Technical challenges in the application of adaptive management","include","included_by_automation","unreviewed"
"williamsRiskAnalysisApproaches2021","Risk analysis approaches to evaluating health impacts from land-based pollution in low-and middle-income countries","include","included_by_automation","unreviewed"
"williamsMethodsIncorporatingPopulation2016","Methods for incorporating population dynamics and decision theory in cackling goose management","include","included_by_automation","unreviewed"
"williamsMarketplaceRationalizations2023","The marketplace of rationalizations","include","included_by_automation","unreviewed"
"williamsInvestigationTacitKnowledge2011","An investigation into tacit knowledge management at the supervisory level","include","included_by_automation","unreviewed"
"williamsFourConservationChallenges2023","Four conservation challenges and a synthesis","include","included_by_automation","unreviewed"
"williamsCosteffectivenessValueInformation2022","A cost-effectiveness and value of information analysis to inform future research of tranexamic acid for older adults experiencing mild traumatic brain injury","include","included_by_automation","unreviewed"
"williamsConfrontingDynamicsUncertainty2013a","Confronting dynamics and uncertainty in optimal decision making for conservation","include","included_by_automation","unreviewed"
"williamsAssessingCosteffectivenessInterventions2022","Assessing the cost-effectiveness of interventions to expand hepatitis {C} testing to help achieve elimination targets in the {United} {Kingdom}","include","included_by_automation","unreviewed"
"willcoxUnifiedMathematicalAlgorithmic2021","A unified mathematical and algorithmic framework for managing multiple information sources of multi-physics systems","include","included_by_automation","unreviewed"
"willcoxArlingtonVirginia22203","Arlington, virginia 22203 air force materiel command","include","included_by_automation","unreviewed"
"willanBayesianMethodsDesign2013","Bayesian methods for the design, analysis and interpretation of clinical studies","include","included_by_automation","unreviewed"
"wilkesIndividualsKnowledgeBehaviour2016","Individuals' knowledge and behaviour in water governance: an israeli case study of female water research and policy professionals","exclude","title_duplicate","unreviewed"
"wilkeningIncorporatingClimateUncertainty2022","Incorporating climate uncertainty into conservation planning for wildlife managers","include","included_by_automation","unreviewed"
"wileyIncreasingSocialPower2011","Increasing the social power of scientific information used for decisions on marine protected areas in {New} {Zealand}","include","included_by_automation","unreviewed"
"wikleStatisticalDeepLearning2023","Statistical deep learning for spatial and spatiotemporal data","include","included_by_automation","unreviewed"
"wijayasekeraDataAnalyticsArtificial2022","Data analytics and artificial intelligence in the complex environment of megaprojects: implications for practitioners and project organizing theory","include","included_by_automation","unreviewed"
"wigfieldP24ImprovedEstimation2022","P24 improved estimation of overall survival and progression-free survival for state transition modelling in oncology","include","included_by_automation","unreviewed"
"wiencekExploratoryStudyDonor","An exploratory study of donor stewardship on the web framed within a cocreational public relations paradigm","include","included_by_automation","unreviewed"
"whyteRelationshipSustainableSupply2016","The relationship between sustainable supply chains and economic success in the retail clothing industry in {South} {Africa}","include","included_by_automation","unreviewed"
"whyteLearningTrustSkynet2023","Learning to trust skynet: interfacing with artificial intelligence in cyberspace","include","included_by_automation","unreviewed"
"whyteEstimatingCosteffectivenessImplementation2016","Estimating the cost-effectiveness of implementation: is sufficient evidence available?","include","included_by_automation","unreviewed"
"whymanRootsLegislativeDurability2016","The roots of legislative durability: how information, deliberation, and compromise create laws that last","include","included_by_automation","unreviewed"
"whitneyUsesAgentBasedModeling2022","Uses of agent-based modeling and simulation to support business decision-making for healthcare industry leadership in the {United} {States} of america","include","included_by_automation","unreviewed"
"whitneyReviewMethodsSupporting2023a","Review of methods for supporting decisions under uncertainty","include","manually_included","include"
"whitneyInformationLiteracyCompetencies2016","Information literacy competencies and schools' curricula: investigating teachers' preparedness, attitudes and understanding of information literacy in irish education","include","included_by_automation","unreviewed"
"whitneyHomegardensFutureFood2017a","Homegardens and the future of food and nutrition security in southwest {Uganda}","include","included_by_automation","unreviewed"
"whitneyDecisionAnalysisSupport2018a","Decision analysis to support agriculture for nutrition","include","included_by_automation","unreviewed"
"whiteWalkingAwayScotFree2011","Walking away scot-free: trust, expert advice, and realtor responsibility","include","included_by_automation","unreviewed"
"whiteDiagnosticAccuracyClinical2016","The diagnostic accuracy of the clinical examination of the hip","include","included_by_automation","unreviewed"
"whateleyWebbasedScreeningModel2015","A web-based screening model for climate risk to water supply systems in the northeastern united states","include","included_by_automation","unreviewed"
"weyantPersonalizationMedicalTreatment2022","Personalization of medical treatment decisions: simplifying complex models while maintaining patient health outcomes","include","included_by_automation","unreviewed"
"westneyExaminingEffectsDisinformation2023a","Examining the effects of disinformation and trust on social media users' {COVID}-19 vaccine decision-making","include","included_by_automation","unreviewed"
"westgeestPharmacotherapeuticPharmacoeconomicValue","Pharmacotherapeutic and pharmaco-economic value of docetaxel for the treatment of prostate cancer","include","included_by_automation","unreviewed"
"westeraWantBetterCriminal2016","Want a better criminal justice response to rape? {Improve} police interviews with complainants and suspects","include","included_by_automation","unreviewed"
"wengCriticalWriting2022","4–critical writing","include","included_by_automation","unreviewed"
"wengBidirectionPerformanceEvaluation","A bi-direction performance evaluation model for water pollution treatment engineering under the intuitionistic multiplicative linguistic environment","include","included_by_automation","unreviewed"
"wengaaFactorsAssociatedUse2016","Factors associated with the use of multiple routine data collection systems ({RDS}) by national health programmes in {Tanzania}","include","included_by_automation","unreviewed"
"wenESTIMATIONTRANSITIONPROBABILITIES2016","Estimation of transition probabilities between cervical lesions for the natural history of cervical cancer among chinese women","include","included_by_automation","unreviewed"
"wendorffCombiningUncertaintySensitivity2016","Combining uncertainty and sensitivity using multi-fidelity probabilistic aerodynamic databases for aircraft maneuvers","include","included_by_automation","unreviewed"
"wendlingBridgesRenewableEnergy2019","Bridges beyond renewable energy: decarbonizing the global electricity sector under uncertainty","include","included_by_automation","unreviewed"
"weltzReinforcementLearningMethods2022","Reinforcement learning methods in public health","include","included_by_automation","unreviewed"
"weltonExpectedValueInformation2017","Expected value of information analysis to evaluate the potential gains of an {RCT} comparing wound dressings","include","included_by_automation","unreviewed"
"weltonEconomicEvaluationCosteffectiveness2020","Economic evaluation and cost-effectiveness of health care interventions","exclude","title_duplicate","unreviewed"
"weltonAreHeadtoheadTrials2011a","Are head-to-head trials of biologics needed? {The} role of value of information methods in arthritis research","include","included_by_automation","unreviewed"
"weltonAccountingHeterogeneityRelative2015","Accounting for heterogeneity in relative treatment effects for use in cost-effectiveness models and value-of-information analyses","include","included_by_automation","unreviewed"
"weiUnlockingEffectsOptimization2023","Unlocking the effects and optimization path of financial support for improvement in environmental quality and rural revitalization development: an empirical analysis based on provincial data of shaanxi province","include","included_by_automation","unreviewed"
"weitzelEconomicsStandardsInformation2004","Economics of standards in information networks","exclude","curator_marked_bin","exclude"
"weistrofferMultipleCriteriaDecision2016a","Multiple criteria decision analysis software","include","included_by_automation","unreviewed"
"weirModelsTheoriesResearch2016","Models, theories, and research for program evaluation","include","included_by_automation","unreviewed"
"weirHOWJURORSEVALUATE2023","How do jurors evaluate memory evidence? {An} open-ended approach to investigating beliefs about memory that jurors bring to the courtroom","include","included_by_automation","unreviewed"
"weiMobileValueChain2023","Mobile value chain collaboration for product diffusion: role of the lifecycle","include","included_by_automation","unreviewed"
"weijermarsUnconventionalGasResearch2011","Unconventional gas research initiative for clean energy transition in {Europe}","include","included_by_automation","unreviewed"
"weihongOnlineWebsitePrivacy2022","The online website privacy disclosure behavior of users based on concerns-outcomes model","include","included_by_automation","unreviewed"
"shadboltChallengesDataFuture2022","The challenges of data in future pandemics","include","included_by_automation","unreviewed"
"shabaruddinPMD44EconomicEvaluation2011","{PMD44} economic evaluation of the {UGT1A1} pharmacogenetic test to inform dose selection of irinotecan-based chemotherapy","include","included_by_automation","unreviewed"
"shabaruddinEvaluatingCosteffectivenessPharmacogenomics2014","Evaluating the cost-effectiveness of pharmacogenomics in clinical practice","include","included_by_automation","unreviewed"
"shachterEfficientValueInformation2013","Efficient value of information computation","include","included_by_automation","unreviewed"
"sethiCommunicationUnknownPerspectives2016","Communication with unknown perspectives","include","included_by_automation","unreviewed"
"seshasaiLeveragingSocialInformation2011","Leveraging social information systems: using blogs to inform technology strategy decisions","include","included_by_automation","unreviewed"
"serranoRiskManagementSupply2023","Risk management in supply chain integration using a business intelligence optimization approach","include","included_by_automation","unreviewed"
"sereflisanQuantitiveManagementInformation2016","Quantitive management of information security in organizations","include","included_by_automation","unreviewed"
"sepulvedaUsingStructuredDecision2022","Using structured decision making to evaluate potential management responses to detection of dreissenid mussel (dreissena spp.) environmental {DNA}","include","included_by_automation","unreviewed"
"seppanenCommunicationMonthlyFigures2011","Communication around the monthly figures: a case study on management reporting practices","include","included_by_automation","unreviewed"
"seoEffectsApplicationInformation2022","Effects of application of information on the expectations of benefits from {GaaP}: moderating effects from perceptions of {IIT}","include","included_by_automation","unreviewed"
"sengulorgutAchievingEquityEffectiveness2016","Achieving equity, effectiveness, and efficiency in food bank operations: strategies for feeding america with implications for global hunger relief","include","included_by_automation","unreviewed"
"sendra-ponsAnchorInvestorsEquity2023","Anchor investors and equity crowdfunding for entrepreneurs","include","included_by_automation","unreviewed"
"seifyFraudDetectionSupply2022","Fraud detection in supply chain with machine learning","include","included_by_automation","unreviewed"
"sedovaETHICSDECISIONMAKING2021","Ethics of decision making in medicine in the era of technical revolution","include","included_by_automation","unreviewed"
"sedighiEconomicEvaluationMental2021","Economic evaluation of mental health effects of flooding using bayesian networks","include","included_by_automation","unreviewed"
"seddighApproachingSustainableSupply2023a","Approaching towards sustainable supply chain under the spotlight of business intelligence","include","included_by_automation","unreviewed"
"sebrinaSustainabilityReportingQuality2022","Sustainability reporting: quality and value relevance","include","included_by_automation","unreviewed"
"scussoliniDescriptionAdaptationOptions","Description of adaptation options and their costs and benefits","include","included_by_automation","unreviewed"
"sculpherReflectingUncertaintyCostEffectiveness2016","Reflecting uncertainty in cost-effectiveness analysis","include","included_by_automation","unreviewed"
"scuffhamHaithamTuffahaShelley","Haitham {W}. {Tuffaha}, shelley roberts, wendy chaboyer, louisa {G}. {Gordon} \&","include","included_by_automation","unreviewed"
"scottRenewableEnergySupport2020","Renewable energy support policy evaluation: the role of long-term uncertainty in market modelling","include","included_by_automation","unreviewed"
"scottHealthSystemPerspective2016","A health system perspective on factors influencing the use of health information for decision-making in a district health system","include","included_by_automation","unreviewed"
"scottDiseaseSurveillanceInvestments2021","Disease surveillance investments and administration: limits to information value in {Pakistan} polio eradication","include","included_by_automation","unreviewed"
"scordisInformalTransactionalEffectual2022","Informal transactional/effectual networks and entrepreneurial innovation in response to uncertainty: a view on the global insurance industry","include","included_by_automation","unreviewed"
"schweberContingenciesEarlyNuclear2011","Contingencies of the early nuclear arms race: michael gordin: red cloud at dawn: truman, stalin, and the end of the atomic monopoly. {New} york: farrar, straus and giroux, 2009, 416pp, {US} \$28 {HB}","include","included_by_automation","unreviewed"
"schwarzUnexpectedImpactInformation2011","The unexpected impact of information sharing on {US} pharmaceutical supply chains","include","included_by_automation","unreviewed"
"schwartzDecisionSupportFrameworks2018","Decision support frameworks and tools for conservation","include","included_by_automation","unreviewed"
"schwarczReevaluatingStandardizedInsurance2011","Reevaluating standardized insurance policies","include","included_by_automation","unreviewed"
"schutzCuiBonoGiving2011","Cui bono from giving up or protecting privacy? {A} basic decision theoretic model","include","included_by_automation","unreviewed"
"schumacherEnvironmentallySustainablePractices2016","Environmentally sustainable practices at small community sport facilities","include","included_by_automation","unreviewed"
"schulzeDataefficientDeploymentReinforcement2021","Towards data-efficient deployment of reinforcement learning systems","include","included_by_automation","unreviewed"
"schultzIntroductionUsingBayesian2011","An introduction to using bayesian networks to model dredging decisions","include","included_by_automation","unreviewed"
"schultzBayesianNetworksModeling2011","Bayesian networks for modeling dredging decisions","include","included_by_automation","unreviewed"
"schultzAssessingResilienceCoastal2016","Assessing the resilience of coastal systems: a probabilistic approach","include","included_by_automation","unreviewed"
"schulerBlurringLinesMerging2022","Blurring the lines: merging aspects of human cognition and artificial intelligence","include","included_by_automation","unreviewed"
"schuchInstitutionalInertiaEuropean2021","Institutional inertia in european fisheries–insights from the atlantic horse mackerel case","include","included_by_automation","unreviewed"
"schroderBusinessModelApproach2011","A business model approach to web 2.0","include","included_by_automation","unreviewed"
"schreyerDecisionClimateUncertainty2016","Decision under climate uncertainty: learning in target-based approaches","include","included_by_automation","unreviewed"
"scholteUseDecisionAnalytic2021","The use of decision analytic modeling in the evaluation of surgical innovations: a scoping review","include","included_by_automation","unreviewed"
"schneiderEffectsExpectationDriving","Effects of expectation and driving style on trust in highly automated vehicles","include","included_by_automation","unreviewed"
"schnackenbergOrganizationalTransparencyNew2016","Organizational transparency: a new perspective on managing trust in organization-stakeholder relationships","include","included_by_automation","unreviewed"
"schmittConcomitantHealthBenefits2021","Concomitant health benefits package design and research prioritisation: development of a new approach and an application to {Malawi}","include","included_by_automation","unreviewed"
"schmidtStabilizationTargetsUncertain2011","Stabilization targets under uncertain and heterogeneous climate damages","include","included_by_automation","unreviewed"
"schmidtMinimizingHealthCare2016","Minimizing health care spending by optimizing care management activities: a mixed-integer programming approach to managing population health","include","included_by_automation","unreviewed"
"schmidDigitalResilienceDealing2022","Digital resilience in dealing with misinformation on social media during {COVID}-19: a web application to assist users in crises","include","included_by_automation","unreviewed"
"schleieriiiQuantitativeApproachIntegrating2015","A quantitative approach for integrating multiple lines of evidence for the evaluation of environmental health risks","include","included_by_automation","unreviewed"
"schlaegerEmpiricalStudyRole2016","An empirical study of the role of {E}-government benchmarking in {China}","include","included_by_automation","unreviewed"
"schillerNationalEnergyEfficiency2011","National energy efficiency evaluation, measurement and verification ({EM}\&{V}) standard: scoping study of issues and implementation requirements","include","included_by_automation","unreviewed"
"scherlingPracticalRiskManagement2016","Practical risk management for the {CIO}","include","included_by_automation","unreviewed"
"schellhornDevelopingBenefitsAssessment2016","Developing a benefits assessment framework for sea traffic management systems","include","included_by_automation","unreviewed"
"scheidtQuantifyingUncertaintySubsurface2018","Quantifying uncertainty in subsurface systems","include","included_by_automation","unreviewed"
"scheerExpertInvolvementScience2015","Expert involvement in science development:({Re}-) evaluation of an early screening tool for carbon storage site characterization","include","included_by_automation","unreviewed"
"schatzImpactRepeatedData2016","The impact of repeated data breach events on organisations' market value","exclude","doi_duplicate","unreviewed"
"schatzEconomicValuationInformation","Economic valuation for information security investment: a systematic","include","included_by_automation","unreviewed"
"schafferContentQualityCanadian2023","The content and quality of canadian trauma and {PTSD} websites","include","included_by_automation","unreviewed"
"scannellWhenQualityBeats2016","When quality beats quantity: decision theory, drug discovery, and the reproducibility crisis","include","included_by_automation","unreviewed"
"sayogoUnderstandingCapabilitiesCritical2011","Understanding the capabilities and critical success factors in collaborative data sharing network: the case of {DataONE}","include","included_by_automation","unreviewed"
"sawyerCaseStudyAir2023","A case study on air quality forecasting in {Latvia}","include","included_by_automation","unreviewed"
"savolainenContrastingDigitalTwin2022","Contrasting digital twin vision of manufacturing with the industrial reality","include","included_by_automation","unreviewed"
"saulnierReevaluatingOurKnowledge2023","Re-evaluating our knowledge of health system resilience during {COVID}-19: lessons from the first two years of the pandemic","include","included_by_automation","unreviewed"
"satzgerCosteffectiveInformationQuality2011","Cost-effective information quality improvement in multi-labelling scenarios using human-based electronic services","include","included_by_automation","unreviewed"
"satishEnablingUncertaintyQuantification","Enabling uncertainty quantification across {SimCenter} modules for simulation in natural hazards","exclude","curator_marked_bin","exclude"
"sasidharanRiskinformedAssetManagement2022","Risk-informed asset management to tackle scouring on bridges across transport networks","include","included_by_automation","unreviewed"
"sartoreTrentoLawTechnology2016","Trento law and technology research group","include","included_by_automation","unreviewed"
"sartonoMandatoryDisclosureSAK2022","Mandatory disclosure of {SAK} {ETAP} in mimetic and normative isomorphism perspective on real sector cooperatives in {Indonesia}","include","included_by_automation","unreviewed"
"sarraCorporateGovernanceGlobal2011a","Corporate governance in global capital markets","include","included_by_automation","unreviewed"
"sarfaraz_implications_2023","The implications of blockchain-coordinated information sharing within a supply chain: a simulation study","include","included_by_automation","unreviewed"
"sarfarazDecisionSupportSystem2022","A decision support system for evaluating success factors of projects in the oil and gas industry","include","included_by_automation","unreviewed"
"sarazignacWhatMakesHumanitarian2016","What makes a humanitarian supply chain resilient? {The} relevance of the capabilities for resilience within humanitarian supply chain and their identification within the typhoon yolanda","include","included_by_automation","unreviewed"
"sarajotiSustainabilityCorporateInnovation2022","Sustainability and corporate innovation","include","included_by_automation","unreviewed"
"saraeeImportanceSmartIndustry2016","The importance of the smart industry concept for innovation in dutch companies","include","included_by_automation","unreviewed"
"saputroLeveragingSupplierSelection2021","Leveraging supplier selection within supply chain management under uncertainty","include","included_by_automation","unreviewed"
"saputroComprehensiveFrameworkLiterature2022","A comprehensive framework and literature review of supplier selection under different purchasing strategies","include","included_by_automation","unreviewed"
"santosImprovementInspectionInterval2022","Improvement of the inspection interval of highway bridges through predictive models of deterioration","include","included_by_automation","unreviewed"
"sankatsingCosteffectivenessDigitalBreast2020","Cost-effectiveness of digital breast tomosynthesis in population-based breast cancer screening: a probabilistic sensitivity analysis","include","included_by_automation","unreviewed"
"sandRiskRankingChemical2023","Risk ranking of chemical and microbiological hazards in foods-research project and international workshop","include","included_by_automation","unreviewed"
"sandhuTransdiagnosticComputationsUncertainty2023a","Transdiagnostic computations of uncertainty: towards a new lens on intolerance of uncertainty","include","included_by_automation","unreviewed"
"sandersWANOptimizationBusiness2011","{WAN} optimization: a business process reengineering and knowledge value added approach","include","included_by_automation","unreviewed"
"sanchezValueCreationContent","Value creation in the content provider industry","include","included_by_automation","unreviewed"
"sanchez-silvaMaintenanceOperationInfrastructure2016","Maintenance and operation of infrastructure systems","include","included_by_automation","unreviewed"
"sanchez-garridoNeutrosophicMulticriteriaEvaluation2021","Neutrosophic multi-criteria evaluation of sustainable alternatives for the structure of single-family homes","include","included_by_automation","unreviewed"
"sampsonSupplysideCosteffectivenessThresholds2022","Supply-side cost-effectiveness thresholds: questions for evidence-based policy","include","included_by_automation","unreviewed"
"sampsonOptimisingCostEffectivenessRiskBased","Optimising cost-effectiveness in risk-based screening programmes: a modelling approach","include","included_by_automation","unreviewed"
"samoilenkoDesignModularDSS2022","Design of a modular {DSS} for public health decision-making in the context of a {COVID}-19 pandemic landscape","include","included_by_automation","unreviewed"
"sammutEncyclopediaMachineLearning2011","Encyclopedia of machine learning","include","included_by_automation","unreviewed"
"saloInvitationPortfolioDecision2011","An invitation to portfolio decision analysis","include","included_by_automation","unreviewed"
"salmanNovelBayesianMaximum2021","A novel bayesian maximum entropy-based approach for optimal design of water quality monitoring networks in rivers","include","included_by_automation","unreviewed"
"sallamUtilityChatGPTExample2023","The utility of {ChatGPT} as an example of large language models in healthcare education, research and practice: systematic review on the future perspectives and potential limitations","include","included_by_automation","unreviewed"
"salinasLaboratoryTestRequesting2016","Laboratory test requesting appropriateness and patient safety","include","included_by_automation","unreviewed"
"salimOptimalBudgetAllocation2011","Optimal budget allocation in budget-based access control","include","included_by_automation","unreviewed"
"salhaVariationsChangesSchool2011","The variations and the changes in the school librarians' perspectives of information literacy","include","included_by_automation","unreviewed"
"salettiRiskbasedManagementCost2022","Risk-based management of the cost to society from infiltration and inflow to wastewater systems","include","included_by_automation","unreviewed"
"rickettFinancialBlogsServe2016","Do financial blogs serve an infomediary role in capital markets?","include","included_by_automation","unreviewed"
"richterBelievingPOMDPs2015","Believing in {POMDPs}","include","included_by_automation","unreviewed"
"richPrejudice2011","Against prejudice","include","included_by_automation","unreviewed"
"richensArtificialIntelligenceMedical2022a","Artificial intelligence for medical diagnosis","include","included_by_automation","unreviewed"
"richardsonScreeningPsychologicalMental2015a","Screening for psychological and mental health difficulties in young people who offend: a systematic review and decision model","include","included_by_automation","unreviewed"
"richardsIndividualLevelSimulation","Individual level simulation for the design of cost-effective research portfolios in elderly breast cancer: using indirect evidence to derive prior distributions for simulation parameters","include","included_by_automation","unreviewed"
"riceThorVisitsLexington2016","Thor visits lexington: exploration of the knowledge-sharing gap and risk management learning in social media during multiple winter storms","include","included_by_automation","unreviewed"
"ricciEndocrineDisruptorsImproving2015","Endocrine disruptors: improving regulatory science policy","include","included_by_automation","unreviewed"
"rhodesFlexibleConservationDecisions2022","Flexible conservation decisions for climate adaptation","include","included_by_automation","unreviewed"
"rezapourSystematicReviewEconomic2022","A systematic review on the economic evaluations evidence of enhanced external counter-pulsation ({EECP}) for managing chronic stable angina","include","included_by_automation","unreviewed"
"rezaei-zadehREVIEWBASESSOLUTIONS","A review of the bases and solutions to deficiency in the effective use of technology in the creation of lifelong learning in higher education","include","included_by_automation","unreviewed"
"reynoldsWhenFactsAre2011","When the facts are just not enough: credibly communicating about risk is riskier when emotions run high and time is short","include","included_by_automation","unreviewed"
"reynoldsRoadMapDesigning2016","A road map for designing and implementing a biological monitoring program","include","included_by_automation","unreviewed"
"revillEconomicEvaluationHealth2016","Economic evaluation of health care programmes and interventions: applications to low-and middle-income countries","include","included_by_automation","unreviewed"
"revieWhatValueStandard2016","What is the value of a standard?","include","included_by_automation","unreviewed"
"reveruzziStreetTriage2016","Street triage","include","included_by_automation","unreviewed"
"retelCosteffectivenessAnalysisPreventive2011","A cost-effectiveness analysis of a preventive exercise program for patients with advanced head and neck cancer treated with concomitant chemo-radiotherapy","include","included_by_automation","unreviewed"
"retelHowAnticipateFuture","How to anticipate future developments in comparative effectiveness research","include","included_by_automation","unreviewed"
"renigier-bilozor_genetic_2021","Genetic algorithm application for real estate market analysis in the uncertainty conditions","include","included_by_automation","unreviewed"
"remaisEstimatingHealthEffects2014","Estimating the health effects of greenhouse gas mitigation strategies: addressing parametric, model, and valuation challenges","include","included_by_automation","unreviewed"
"rejeb-khachloufPersonalNetworksKnowledge2011","Personal networks and knowledge transfer in inter-organizational networks","include","included_by_automation","unreviewed"
"reissSocietyRiskAnalysis2011","Society for risk analysis annual meeting","include","included_by_automation","unreviewed"
"reismanHealthPolicyChoice2016","Health policy: choice, equality and cost","include","included_by_automation","unreviewed"
"reisIntegratingModellingSmart2015","Integrating modelling and smart sensors for environmental and human health","include","included_by_automation","unreviewed"
"reisingerRobustReproducibleMethod2017","A robust, reproducible method for evaluating the suitability of disparate observational databases for pooled analysis, using the omop common data model","include","included_by_automation","unreviewed"
"reinmoellerPersistenceStigmatizedPractice2016","The persistence of a stigmatized practice: a study of competitive intelligence","include","included_by_automation","unreviewed"
"reineckeKnowledgeBrokerageDesigns2015","Knowledge brokerage designs and practices in four european climate services: a role model for biodiversity policies?","include","included_by_automation","unreviewed"
"reillySourcesUncertaintyInterdependent2021","Sources of uncertainty in interdependent infrastructure and their implications","include","included_by_automation","unreviewed"
"reidBayesianMethodsGreat2016a","Bayesian methods for great lakes fisheries risk assessment and management","include","included_by_automation","unreviewed"
"reichborn-kjennerudAuditorsUnderstandingEvidence2011","Auditors' understanding of evidence: a performance audit of an urban development programme","exclude","doi_duplicate","unreviewed"
"rehrEnvironmentalDecisionSupport2011","Environmental decision support integrating scientific input, models, economic valuation, and stakeholder participation","include","included_by_automation","unreviewed"
"reevesEconomicEvaluationWebbased2021","Economic evaluation of a web-based menu planning intervention to improve childcare service adherence with dietary guidelines","include","included_by_automation","unreviewed"
"reddyLearningHumanObjectives2020","Learning human objectives by evaluating hypothetical behavior","include","included_by_automation","unreviewed"
"rechesDecisionMakingDynamic2020a","Decision making with dynamic uncertain continuous information","include","included_by_automation","unreviewed"
"reddickOpenGovernmentProcess2016","Open government process and government transparency in crisis communication: the case of {AirAsia} {QZ8501} crash","include","included_by_automation","unreviewed"
"razzaqModifiedPictureFuzzy","Some modified picture fuzzy average aggregation operators with priority roles of stakeholders in implementation of education 4.0","include","included_by_automation","unreviewed"
"razzaqArchitecturalFrameworkUnderwater2023a","Architectural framework for underwater {IoT}: forecasting system for analyzing oceanographic data and observing the environment","include","included_by_automation","unreviewed"
"razaviRegionalClimateChange2016","Regional climate change trends and uncertainty analysis using extreme indices: a case study of {Hamilton}, canada","include","included_by_automation","unreviewed"
"razaviFutureSensitivityAnalysis2021","The future of sensitivity analysis: an essential discipline for systems modeling and policy support","include","included_by_automation","unreviewed"
"rausserPrinciplesPolicyModeling2022","Principles of policy modeling in food and agriculture","include","included_by_automation","unreviewed"
"rauhChangingEthicsPolicies2016","Changing ethics policies without scandal: state responses to published reports and the importance of accurate information","include","included_by_automation","unreviewed"
